id,practice_id,sub_family_id,planet,people,prosperity,keyword,precision_of_recommendations,criteria,justification,test_1_1_1,test_1_1_2,test_x,correspondence,correspondence_link,target,formal_type,difficulty,misc_comments,odds,is_unmissable,cycle_de_vie,tags,actors,indicators,x_indicator,y_indicator,priority,recurrence,use_case
116,UX/UI-1.02,11,A,B,B,Methodology,Include the ecological dimension into ideation methods,"Is the planet taken into account in the brain storming process, in order  to integrate the ecological dimension (planet centric design)?","Every design decision has an impact. If environmental and ecological issues are not at the heart of the analysis, no objective of controlling or reducing impacts will be taken into account and therefore respected.",Is the planet centric toolkit known and used?,,,Planet Centric toolkit, https://planetcentricdesign.com/,,RECO,***,,,1,Conception,#COM ;  #METH ;,Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,OnUpdate,Systemc approach: planet centric is used
117,UX/UI-1.03,11,B,B,A,Methodology,Integrate the extra-financial added value of responsible digital technology into the business model,Are the extra-financial added value of sustainble digital technology valued in the business model?,Responsible Digital (Sustainable IT) can be considered as a real source of economic development within your organization. Integrating the Sustainable IT dimension into your business model on a long-term basis will allow you to avoid constant arbitrations on its importance  and its integration into your future projects.,"Are human, ecological and economic values ??included in the business model canvas and are they approved by all stakeholders?","Is an ""Evidence planning"" used to highlight the different gains and costs of 3P?",,ND: see the (emerging) sustainable business canvas templates?  Evidence planning, https://www.designkit.org/methods/business-model-canvas  https://diytoolkit.org/media/Evidence-Planning-A4.pdf,,RECO,***,,,1,Utilisation,#COM ; #VALUE ; #FIN ;,ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Once,Profit analysis covers sust. IT axis
118,UX/UI-1.C01,11,B,B,B,Project Resources,Identify and formalize Sustainable IT-oriented project governance at all levels,Is a sustainable IT process planned at the level of project governance?,"A Sustainable IT approach must be systemic, over the entire life cycle of the project, and therefore supported by all development actors.",Are reviews and cross-functional monitoring of Sustainable IT aspects set up? How often are Sustainable IT reviews scheduled?,Is an RACI planned?,,see if a template is available?,,,CONSEIL,N/A,,,0,Production,,,,,,,0,
119,UX/UI-1.04,11,C,B,C,Project Resources,Apply a Sustainable IT continual improvement approach to the project (pass the post-mortem test),Are Sustainable IT improvements identified and systematically planned?,The aim of continual improvement allows to increase the performance of the project and therefore to limit its impact.,Has the project review been carried out and does it improve the impacts on the 3ps?,Use a backlog of identified improvements,Is a post mortem systematically put in place?,links to post-mortem practice method,,,RECO,**,,,0,Maintenance,#MAINT ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Number of sust. IT items,Number of improvement,High,OnUpdate,Backlog
120,UX/UI-1.05,11,B,B,A,Project Resources,Give a Sustainable IT responsibility to the project manager and to each business stakeholder,"For the Sustainable IT aspects, do the project managers (project manager, product owner, etc.) have the same prerogatives as the business aspects?","For the Sustainable IT issue to be followed, it must be personified by an identified, responsible person who disseminates the issues to each business stakeholder and takes part in decisions. This role can be defined in his personal objectives or job description.",What is the  the project's manager decision level for the Sustainable IT aspects?,Has the project manager presented the Sustainable IT benchmark chosen for the project?,Do all the protagonists have the same level of information on the different roles in terms of Sustainable IT responsibility?,,,,RECO,**,,,0,Production,#VALUE ; #METH ; #HR ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100; Referees = 75; Possible = 50; No = 0,100,High,Periodic,Training plan
121,UX/UI-1.06,11,B,B,A,Project Resources,Establish a deliverables management policy,Is the deliverables's output (documentary production included) used upstream of the project and is it produced to allow it to be reused in subsequent projects?,A Sustainable IT knowledge and skills base will emerge as the projects progress. It is important to capitalize on the experience acquired and to disseminate good practices. This will allow your teams to develop instinctive reations  and reuse proven solutions on future projects.,Is the quality approach applied to all the communication features of the product?,Is a low loyalty process implemented prior to high loyalty ?,,,,,RECO,**,,,0,Revalorisation,#VOL ; #SEC ; #USE ; #MAINT ; #DEBT ; #METH ; #FIN,Dev ; Designer ; ProjectMngr ; ProductOwner ; ITMngr,,,,Low,OnUpdate,Technical documentation
122,UX/UI-1.C02,11,B,B,A,Project Resources,Take part in the project's budget establishment including the 3 P's (People / planet / prosperity),Is a budget on the 3Ps axes associated and monitored during the project?,"Depending on the organization's level of maturity, taking into account of Sustainable IT can generate a cost and a time of reflection which must be foreseen and associated with the expected benefits. The posts and time allocated to Sustainable IT on the budget must be approved, obvious and communicated precisely to all project stakeholders.",Are UX-UI missions related to Sustainable IT clearly describied and communicated in the budget? Are indicators including the 3Ps put in place to monitor the project budget?,Is the Sustainable IT budget approved at project level?,"Is a carbon budget allocated to the project and the service, for the entire life cycle?",Systemic Design,https://www.systemicdesigntoolkit.org/download,,CONSEIL,N/A,,,0,Administration,,,,,,,0,
123,UX/UI-2.01,12,B,A,A,Project Resources,Have an awareness-raising and training process for all project stakeholders (internal and external).,Are stakeholders informed about Sustainable IT?,"To accede, you have to understand. Sustainable IT is not a technical discipline. The principles of Sustainable IT must be implemented in business practices and the behavior of each of the particiants. All project stakeholders must be made aware of Sustainable IT in order to act at their level.",Is knowledge sharing and awareness raising among stakeholders in place?,Is awareness-raising support adaptable to the different projects and to the different levels of knowledge of all the stakeholders available?,,sharing of Sustainable IT toolkit schedule in the planning of time (and a budget?) for awareness raising,,,RECO,*,,,1,N/A,#COM ; #GOV ; #HR ;,RSE/NR ; HR ;,(X / Y ) * 100,Number of sust. IT awareness,Number of team members,High,Periodic,Education plan include sust. IT training and awareness
124,UX/UI-2.02,12,B,B,B,Methodology,"Share and get the stakeholders to adhere to the iterative process, including the validation steps.","Are the different phases of the project identified with their validation process, in order to get stakeholders to adhere to the iterative process?","The Sustainable IT approach is iterative and perfectly suited to Agile processes, which also imposes efficient and formalized control and validation mechanisms.",How are the project stages for Sustainable IT approved?,Do you have Sustainable Decision Point?,,,,,RECO,**,,,0,Production,#COM ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Medium,OnUpdate,Definition of Done
125,UX/UI-2.C01,12,A,A,B,Uses,"Have an approach to promote environmental footprints, due to the service's utilization and explotation, on the user interface","Have you set up an environmental footprint monitoring reporting system, resulting from the service's utilization and explotation by every user? ","User engagement will encourage yielding to the Sustainable IT approach, which is an important aspect of promoting the values ??and results of the organization. Communicating highly visual elements to users makes it easier for them to participate in and understand your commitments.",Is an ecological meter offered to the user in a didactic way?,Is an electricity consumption meter installed for the service's use  (per session for example)?,Is a viewing time counter set up for the use of the service (per session for example)? Is the file's size to be downloaded indicated in order to raise awareness of the impact of the functionality?,,,,CONSEIL,N/A,,,0,Administration,,,,,,,0,
126,UX/UI-2.C02,12,B,A,A,Uses,Bring to the for information relating to compliance with standards / recommendations ICT Sustainable service,What data is available for communication involving compliance with Sustainable IT standards and recommendations on the service?,"A number of resources are available to display the level of completion and involvement in Sustainable IT. This results in badges, labels, standards ... allowing the user to identify the organizations that are making the most considerable efforts on social and environmental issues.",Are the labels and badges to be attained by the application defined at the start of the project and displayed in the service?,"Is the service certified and / or does it fill the standardization (ISO 14000, 14040 ...)requirements?",Is a communication tool available?,eco index,http://www.ecoindex.fr/,,CONSEIL,N/A,,,0,Acquisition,,,,,,,0,
127,UX/UI-2.C03,12,B,B,B,Uses,Propound users to be protagonist in reducing their impacts.,"In order to encourage users to be protagonist in reducing their impacts, do they have access to references that introduce Sustainable IT practices?","User's posture remains one of the points over which the organization has no control. Despite all the expected benefits of a responsible design of digital services, user's  practice can either multiply the positive effects or reduce them significantly. Communicating elements that make the user aware of these actions so that they can reduce their impact is essential.",Are eco-tips and usage data accessible to the user while using the service?,Are the Sustainable IT impact service settings clearly identifiable and easily accessible by the user?,Do you provide Sustainable IT oriented guidelines? Do Sustainable IT alternative solutions make it possible to prioritize user choices?,multi-year accessibility plan + accessibility statement,exemple : YT (pause) et discord (pause),,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
128,UX/UI-3.C01,13,C,A,B,Methodology,From conception to the end of your service life.,"Are the obstacles to the use of digital technology (accessibility, technical, territorial) taken into account?","In order to be responsible, digital technology must first and foremost be available and accessible (In France, 14% of the population has no internet access or no digital skills (source: Vie-publique.fr / DILA Source: ICT Surveys - INSEE), in France more than one user out of 3 lacks basic digital skills. This is the purpose of the human dimension of Sustainable IT, which treats the difficulties of using  digital technology for certain population according to their ability to understand the elements (accessibility) and access and quality of networks.",Does the personas' profiles take into account all cases of digital inclusion? Are users in difficulty spotted with the persona's help and supported throughout the service's life cycle through user tests or onboarding training?,In case of disagreement how are the elements arbitrated?,Is access to technologies and the quality of Internet speed taken into account from the design phase? Have you set an aim for the accessibility rate of your service? Does the service meet accessibility recommendations and obligations and does it meet the criteria for an accessibility label / standards?, Defender of rights report: Dematerialization and inequalities in access to public services, https://www.defenseurdesdroits.fr/sites/default/files/atoms/files/rapport-dematerialisation_num-accessible-03.04.19.pdf,,CONSEIL,N/A,,,0,Conception,,,,,,,0,
129,UX/UI-3.01,13,C,A,B,Methodology,Simplify the content and handling of the digital service,What solutions have been deployed to fight against electronicism and simplify uses and services?,"Diminishing inequalities of access to digital service so as not to exclude any user, these exclusion cases can be greatly reduced by taking social, generational and territorial disparities into account very early in the design.",Is the learning curve of using and understanding the service taken care of?,"Is the UX Content of the application is taken care of, has the handling of the service been facilitated?",What is the satisfaction / success rate of the use of the service by all the users taken separately? Are existing and already used accessibility tools identified?,Microsoft content GT : Design for guidance  INSEE report on illectronism,https://msdesignstorage.blob.core.windows.net/microsoftdesign/inclusive/InclusiveDesign_DesigningForGuidance.pdf  https://www.insee.fr/fr/statistiques/4241397,,RECO,**,,,0,Conception,#USE ; #VALUE,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Low,OnUpdate,Users tests
130,UX/UI-3.02,13,B,A,B,Methodology,"Carry out empathy towards all users, without prejudice, in order to better meet their real needs","Are the technological, social, physical and temporal criteria that allow your users to reach their aim  and limit the digital gap taken into account?","Dealing with cases of digital exclusion is the first essential step, but this does not guarantee that the user will be able to achieve their goals easily by using the service. These aspects must be addressed by facilitating the user's journey.","Are users in difficulty in using the service properly taken into account and represented, as well as their issues, via objective tools (personas, spinning mills, question scales, interviews, narrative universes, etc.)?",How are user's difficulties identified?,, Spinning template  Question scale  Interview guide  Narrative universe, https://fr.diytoolkit.org/tools/filature/  https://fr.diytoolkit.org/media/echelle-de-questions.pdf  https://fr.diytoolkit.org/media/guide-dentretien.pdf  https://fr.diytoolkit.org/media/univers-narratif.pdf,,RECO,**,,,0,Conception,#USE ; #VALUE ; #LEG,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100; planned = 75; Identified = 50; No = 0,100,Low,OnUpdate,Impact assessment
131,UX/UI-3.03,13,A,A,A,Methodology,Make the service accessible without constraining the flow,Does the service work with weak connections?,"Development and testing environments are often efficient, which hides the networks with poor performance impact. In order not not to make the service unusable in conditions where network speeds are reduced, the Sustainable IT approach must take into account an adapted design to territories or locations where poor network access. ","Is a so-called ""Low"" mode feasible?",Can the service be tested with restricted speeds?,Is a loss of connection during the service taken into account with a segmentation of the service avoiding the user to start al over again?,,,,RECO,***,,,0,Utilisation,#PERF ; #VOL ;  #USE  ; #OBSO,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,"Browsers developement Tools & consoles are used to simulate low bandwith networks (ex: FIREFOX Console, Reduced bandwith) "
132,UX/UI-3.04,13,C,A,A,Methodology,Respect the principle of equity access to the service through user assistance.,Are the assistance service access mechanisms available and suitable for all audiences?,The interaction aptitude between the user and the service can be improved with online support process that must meet the same Sustainable IT requirements as the whole service. Accessibility must be thought of for the service as well as for the help solutions.,"Have the patterns of access to assistance been tested with the concerned groups, have any difficulties been detected?",Are training sessions (Onboarding) planned and easily accessible by users in difficulty while using the service? Is human assistance provided in the case of difficulties?,"Are several access patterns to the service planned via different user journeys, experience map?",,,,RECO,*,,,0,Utilisation,#USE ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Low,OnUpdate,Users tests
133,UX/UI-3.C02,13,C,A,A,Uses,Provide support tools adapted to getting started with the service,Has a human fall-back been prepared to backup the service's utilization?,"The task of user assistance is most often delegated to a PLC, in order to provide quick answers and avoid waiting times for frequently asked answers. Dealing with a PLC can be frustrating , therefore humain contact assitance must be avaliable,  without neglegting the Sustainable IT criteria.",After how many unsuccessful attempts is the user put in touch with a human operator?,"Are several exchange formats proposed/ avlaible (spoken, written, sign language, spoken completed, chat, face-to-face, braille)?","Have the different types of targets (handicap, illectronism, etc.) been taken into account?",,,,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
134,UX/UI-3.05,13,A,A,B,Methodology,Define a compatibility strategy with obsolete devices and software versions,Is a policy for compatibility with obsolete terminals and software versions established?,"Technological advances are increase constantly  hardware requirements, reducing the devices's number on which a service can run. This aspect excludes certain users and encourages the renewal of equipment still in perfect working condition with the associated environmental footprint.","Is the list of terminals extended to secondary target terminals? Are there any particular requirements in terms of user experience (habits at an existing interface, at a given terminal)?",Are your personae qualified in terms of the associated devices and OS?,Are the responsive approach and the application of the mobile first approach implemented?,,,,RECO,***,,,1,Utilisation,#PERF ; #USE ; #DEBT  ; #OBSO,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,Each items referenced in technical documentation have an End Of Life information
135,UX/UI-3.C03,14,B,B,A,Technology,"Define the scope of target devices, OS and browsers according to your targets","In the definition of personae, have the target versions of devices, OS and browsers been taken into account?","The business line, the user's profile allows most often to qualify the equipment park that will be used for the service. The materials are determined by their technical capacities (computing power, memory, network capacity, sensors, size and screen quality) but also by the operating systems they can accommodate. Each constraint that the service imposes reduces the number of stations that will be able to use it and therefore excludes a group of users.","What maximum compatibility date is defined, making it possible to determine the technical elements of obsolescence of the targets' IT equipment?",Are the costs generated by the expected coverage quantified and accepted?,Are the analytical data of the targets taken into account?,,,,CONSEIL,N/A,,,0,Conception,,,,,,,0,
136,UX/UI-4.01,14,C,A,A,Methodology,Take into account disability management situations from the design stage,"From the design stage, does the service meet the current accessibility standards in  (at a minimum)?","Beyond the strictly legal aspects, anticipation of taking accessibility into account is necessary to ensure coverage of this subject throughout the service life. Anticipating future points of regulations and standards allows  to perpetuate the service by limiting the need for updates dictated by the legal environment.",What is the intended and measured level of accessibility?,Are personas representative of different disabilities and impairments present?,"Are there any tests (contrasts, readability, usability fonts) carried out with tools or people with disabilities?","Law 2005 Inclusive design Toolkit Univertsity of cambridge SL Microsoft Inclusive design toolkit RGAA standard: level A, level AA and level AAA",http://www.inclusivedesigntoolkit.com/tools_simulation/ https://www.microsoft.com/design/inclusive/,,RECO,**,,,1,Conception,#USE ; #VALUE ; #LEG,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,OnUpdate,Regulation & legal concerns are formalized & shared
137,UX/UI-4.02,14,C,B,B,Uses,Set up an inclusive navigation system,"Can any type of user easily know where he is in the service, by setting up an inclusive navigation system?","The more user-friendly and well-built the service, the less time the user will spend finding the information they are looking for, which will reduce parasitic browsing and reduce the consumption of resources and energy.",Is a navigation marker (breadcrumb or equivalent) present?,Is the site map easily accessible? Is the search box present and correctly positioned and indicated? Is the page title self-explanatory?,Did you follow the best practices for browsing the apps? Are the tools facilitating relative accessibility to terminals known and used (voiceover over and talkback)?,"RGAA repository: level A, level AA and level AAA https://developer.apple.com/design/human-interface-guidelines/ios/app-architecture/navigation/",,,RECO,*,,,0,Utilisation,#USE ; #VALUE ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Low,OnUpdate,Browser / keyboard navigation : TAB / SPACE / ENTER
138,UX/UI-5.C01,15,A,B,B,UI,"Decrease and optimize animation, sound and tactile components of the interface, to reduce energy and material impacts.","Is a visual soberness implemented so as  to reduce energy resources use and the impact on the material deterioration of the visual, sound and tactile interface's components?","Visual, sound and tactile elements / components can prioritized a purely aesthetic and / or marketing approach but have very little interest for the user. The simplification of these elements will bring better ergonomics and a use adapted to each one as well as a reduction of the energy impact.",Is the graphic charter eco-compatible? Does the graphic charter respect accessibility standards?,Has a list of energy impacts been drawn up? Are impact reduction objectives set and shared with the whole team?,Are the designers in charge trained in responsible visual design?,,,,RECO,**,,,1,Utilisation,#VOL ; #USE ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Validated features,Features,High,Periodic,"Users journeys are simulated and validated to confirm features usage. Production ata are collected and processed (Analytics, probe, ...) "
139,UX/UI-5.01,15,A,A,B,Methodology,Question and practice the functional economy,Are the features used by the user?,"According to studies (software cast and standish group), 70% of the features are never or hardly used. (ref 115 best practices) The number of functionalities available in a digital service directly impact the consumption of resources and the environmental footprint, by creating functionalities of little use. These are totally unnecessary sources of environmental debt. The functionalities also increase the volume of the service, which introduces loading delays and additional storage spaces.",Are the proposed features expected and used by your main users and do they bring real value to your product?,Measure the use of each feature and limit your product to the users' needs,"According to the recommendations for the use of tracking tools, have you set up tracking tools?",,,,RECO,***,,,0,Administration,#USE ; #VALUE ; #METH ;,Dev ; Designer ; ProjectMngr ; ProductOwner ; Manager ; ITMngr ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,Impact assessment
140,UX/UI-5.02,15,C,B,B,Methodology,"Establish a decision-making process based on reliable, verified and approved indicators over the entire service life cycle.",Are decision-making justified and approved by reliable indicators on the use of functionalities throughout the service life cycle?,Monitoring of uses allows to validate the estimations made at the beginning of the design and identify areas for improvement. But this principle is based on reliable data sources.,"What data is collected, how often?",Are actions associated with the data collected and analyzed?,,,,,RECO,**,,,0,Maintenance,#USE ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,Periodic,Backlog
141,UX/UI-5.03,15,B,B,B,Methodology,Implement a process for prioritizing functionalities,"Is there a policy / approach / routine for the progressive reduction and prioritization of functionalities, interactions and graphic elements?","The deletions of elements on interfaces may not disrupt users, and therefore generate a reduced footprint with fewer elements and functionality without degrading the value of the service while limiting its environmental footprint.","Is there a tracking tool to prioritize, and evaluate the functionalities' use throughout the  service life cyle?  ",Is the removal of unused or underused elements managed?,,#NAME?,,,CONSEIL,N/A,,,0,Administration,,,,,,,0,
142,UX/UI-5.C02,15,C,C,B,Technology,"Pool ergonomic effort and SEO, from the design phase, in order to optimize site performance","Are the stakeholders of the SEO service involved, starting  from the design phase?","Algorithms' optimization  tend to accumulate data, in the majority of cases the data collected is not analyzed and therefore is not employed to rationalize uses. Optimizations must be part of  an iterative process and each feedback must allow a measured gain in efficiency before moving on to the next step.",Are SEO feedbacks taken into account in the design phase to improve Sustainable IT impacts?,"During targeted operations, is a daily review of SEO performance planned?","Are the detailed analysis and criteria (ROI) of your SEO implemented, with an approach  to eliminate / prioritize ineffective elements?",,,,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
143,UX/UI-5.C03,15,A,B,B,Use,Put forward an acccurate management of information distribution by e-mailing,"Is the practice of e-mailing considered, justified and reduced to what is strictly necessary?","Emailing  especially when the emails contain rich content, generate a significant environmental footprint. In the case of mass distribution, these impacts are multiplied. Newsletters  for exemple is generate explosion of traffic. The content, volumes and delivery targets must be reduced to compensate with efficiency and relevance for what was supported by mass delivery.",Is access to unsubscribe fast and easy for the user (without a confirmation request)?,Is e-mailing consultation performance monitoring is set up? Does the information shared by e-mailing bring value to its reader? Is the archiving of the e-mailing handled?,Are Database management campaigns planned? Is the contact base segmented to avoid mass mailings?,,,Contenus notre groupe est ï¿½ dispo pour partager la mï¿½thodo et le process envisagï¿½ = mise en archive puis dï¿½mobilisation du contenus vers des disques durs avec possibilitï¿½s de demander ï¿½ les consulter,RECO,**,,,0,Fin de Vie,#PERF ; #VOL ; #USE ; #COM ; #VALUE ; #METH ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Number of removed content,Number of unused content,Medium,Periodic,Configuration management take into account all components w/ upgrade process according to their age
144,UX/UI-5.04,15,A,C,B,Use,Have a content archiving policy (old / recent) with no impact on SEO been deployed?,Are an archiving schedule and a lighter version of the old searchable content implemented?,"Often, a significant amount of files, often versioned, are produced to meet customer requirements. Establishing a good file management practice (customer and internal deliverables) is essential. Sorting and deleting obsolete and unusable versions will have a positive impact on storage. Indeed, all this stored data has an environmental cost because it is linked to the use of servers most often, and therefore represents a significant financial cost. Defining a content archiving policy will contribute to responsible and efficient management of the production of the service.",Are the archiving criteria and the schedule defined?,Are archives automated?,What volume is gained by the transfer in raw or light format of archived content which remains searchable?,,,Playstore Efficiency Report 2019 par Greenspector,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
145,UX/UI-5.C04,15,B,B,C,Technology,Limit on-board analytics solutions so as not to hamper service performance,Has the analytics been limited to what is strictly necessary to optimize the service?,"The analytics data collect is installed in the source codes and must be positioned only at the points where they bring a possibility of performance improvement because their actions are not neutral; they collect, transmit, store data and burden the services by adding executable codes that require processing resources on the user device, on networks and on remote servers. In addition, the data collected may be transmitted and used by other persons for purposes of which the user is not always aware.",Is the use of analytics optimized as necessary?,Don't the tools put in place present redundancies?,Do analytics services not occupy more than 30% of performance and resource consumption?,,,,CONSEIL,N/A,,,0,Conception,,,,,,,0,
146,UX/UI-5.C05,15,B,B,C,UI,"Limit third-party / external services (social network feeds, social wall, carousels, google maps, etc.).","Are third-party services (social network feeds, social wall, carousels, google maps, etc.) not used for convenience to compensate for the lack of content production resources?","It is common to use third-party services related to the use of social networks, geolocation, etc. The use of these third-party services must be at the service of information and not replace it because their use is very resource-intensive, bandwidth and battery of terminals in particular. It is important to limit their use to what is strictly necessary in order to limit their environmental footprint.","Has an alternative to third-party services been considered, is it possible?","Are links offered by third-party services stripped to the prosperity of lighter, useful content?",Is the usefulness of third-party services consistently tried and tested?,,,,,,,ODD#12 ; ODD#13 ; ODD#14 ; ODD#15,0,,,,,,,,0,
147,UX/UI-6.C01,16,A,B,B,UI,Offer several versions of the interface to the user (Rich / Low) in order to adapt to their real needs,Does the  service's use make it possible to consider software or hardware configurations that have less impact on the environment?,User's equipement is increasingly more efficient and digital services utilize these technical capacities. This emphasizes the digital gap by excluding some of the users who cannot afford these expensive terminals.  It is therefore important to question the usefulness of using these technologies to achieve the finality of digital service while allowing  access to a majority.,"In the user research, have any technical, material or human constraints that would require an adapted version of the service been identified?","From the first use, is a ""degraded"", offline or less energy-consuming interface mode of the service pushed to the user via an installation and / or onboarding phase? Do simultaneous connection volumes have an impact on interface renderings?",Does the user have simple and identified access to manage media quality?,,,,RECO,***,,,0,Utilisation,#VOL ; #SEC ; #USE ; #MAINT ; #DEBT ; #METH ; #FIN,Dev ; Designer ; ProjectMngr ; ProductOwner ; ITMngr,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,Medium,OnUpdate,Continous imporvement is based on backlog w/ sust. IT imporvement explicitly tagged
148,UX/UI-6.01,16,A,B,A,UI,Provide a flexible service over time to the user so that he can develop it responsibly,Does the user experience take into account possible changes to the service (adding / removing features)?,"A digital service has a lifespan that it is important to extend as much as possible. Often there is a beta version, then other features will be added by and by. It is important to raise these questions from the design of the service with the various partners and customers in order to develop a flexible and adaptable service over time. This will limit the financial and environmental costs in the long term because the service will be scalable, thus extending its lifespan.",Have future service evolution needs been identified and planned?,Are the service updates appropriate and ICT Sustainable Compliant?,Can the user choose whether or not to activate interface features according to their needs and  updates?,,https://www.websitecarbon.com/  https://contrast-ratio.com/  https://www.figma.com/community/plugin/748533339900865323/Contrast,,CONSEIL,N/A,,,0,Acquisition,,,,,,,0,CHROME: Extension / lighthouse / accessibility
149,UX/UI-6.C02,16,A,A,B,UI,Offer a visual design that has as little impact as possible while respecting accessibility rules,"Are all the components of the interface the subject of special attention in terms of Sustainable IT impact, while respecting accessibility rules?","The simpler the visual theme, the more efficient it will be in resources consumed to display it. The more components the service implements (load on servers, networks and devices), the greater the impact of the number of concurrent users. The technical solution is often to oversize the production environments to ensure better fluidity on service. leaving the choice to users of service's presentation that uses less energy will help reduce the environmental footprint (network congestion and over-sizing of infrastructures). With the increase of users number,  the service will become lighter, the overall scope will remain constant and / or controlled with precisely dimensioned technical means. In addition, this will have an educational role: the user will be able to become an actor in his own consumption and his environmental footprint.","Is a suitable visual theme (dark / light) proposed to the user, in a simple, quick and modifiable way (automatically or manually), according to the different terminals? A ""Low"" theme, refined in terms of interface elements (visuals, animations, videos, touch, etc.) is it explained and offered to the user from his first use and can he easily modify this option? any time ?","Are all the components of the interface (visual, sound, tactile) subject to an impact reduction process and are they proven to be useful?","Is the system design optimized, applicable and applied throughout the life of the service? Are the contrast, color and brightness parameters easily identifiable by the user?",Website Carbon   Contrast ratio    Plugin Figma: Test contrast,,,CONSEIL,N/A,,,0,Conception,,,,,,,0,
150,UX/UI-6.C03,16,A,B,B,UI,Offer alternatives to visual design in the interface,"Are solutions without a ""graphical"" interface forseen for certain functionalities, in order to offer alternatives to visual design in the interface?","An interface is not just about the visual elements contained, it can be interesting to challenge other approaches to the user experience in order to reduce the impact of the service.","Is a voice or gestural version of the interface feasible, for the user and the ICT Sustainable? If so, is it offered to the user beginning from  his first use of the service?","Is a gestural version (eye tracking, touch, kinetic) planned / possible and desirable?",,,,,CONSEIL,N/A,,,0,Utilisation,,,,,,,0,
151,UX/UI-6.C04,16,A,B,B,Technology,Offer modes of dialogue with users by limiting the number of presentation elements as much as possible,"Is a Sustainable IT-oriented configuration space made available to the user, to limit the number of presentation elements as much as possible?","Every action counts and the user has a key role  in reducing their environmental footprint. Raise user's awareness and allow him to be an actor. Informing about the impact of its actions and proposing simple and rapid alternatives will make it possible to have a more responsible use of the service and to develop a collective conscience, in the long term, concerning digital pollution.","Is there a quickly accessible space, where the user can manage the so-called ï¿½ecoï¿½ parameters of the UI?",Are user advice and / or challenges offered to improve the impact of the service?,"Can alerts be activated by the user to promote good practices (eg: Caution, important screen time, take a break)?",,,,RECO,**,,,0,Utilisation,#USE ; #VALUE ;,Dev ; Designer ; ProductOwner ;,(X / Y ) * 100,Formalized = 100 ; Planned = 75 ; Identified = 50 ; Ignored = 0,100,High,OnUpdate,"Print test are run to check ink, papers consumption and relevance of information printed"
152,UX/UI-6.02,16,A,B,B,Use,Provide a printable version of certain content and screens to optimize user impressions,"Is the dematerialization of the service complete, and if the production of paper documents is essential, is it designed to limit its impact to the lowest possible?","The flows of dematerialization are sometimes broken, and require written documents output. The user, in some cases, may also be more comfortable using printed documents rather than 100% electronic. Printings have a significant environmental footprint, whether in paper consumption, consumables such as cartridges and printing inks. The printed presentation, or electronic presentation are different, on the other hand the limitation of the environmental footprint must lead to a diminution in the  volume of printed information",Are the screens affected by printing identified and their usefulness demonstrated?,Is a stylesheet for printing made?,"Does all of the content have to be printed? Are the printable elements processed (social media pictogram, background), are the elements not necessary for reading / understanding a page hidden?",,,,,,,ODD#12 ; ODD#13,0,,,,,,,,0,
